Rank,Country,ISO3,Population_M,Eligible_M,GX_Impact_Index,Tier,Need_Score,Readiness_Score,Treasury_GX_B,Treasury_USD_B,Individual_GX_B,Individual_USD_B,Grant_Impact_Multiple,Unbanked_Pct,Inflation_Pct,Remittance_Pct_GDP,Mobile_Per_100
83,Dominican Republic,DOM,11.4,6.86,43.6,Tier 4: Strategic Impact,18.8,24.8,0.411,49.37,0.932,111.90,1.50,35.22,3.30,8.82,91.87
84,Serbia,SRB,6.6,3.95,43.6,Tier 4: Strategic Impact,16.3,27.2,0.237,28.45,0.537,64.49,1.19,16.75,4.67,7.10,128.47
85,Ecuador,ECU,18.1,10.88,43.1,Tier 4: Strategic Impact,18.3,24.8,0.653,78.35,1.480,177.58,2.37,35.49,1.55,4.50,101.03
86,Kazakhstan,KAZ,20.6,12.36,43.1,Tier 4: Strategic Impact,14.5,28.5,0.741,88.96,1.680,201.64,1.15,12.95,8.69,0.12,127.11
87,Samoa,WSM,0.2,0.13,43.0,Tier 4: Strategic Impact,27.7,15.2,0.008,0.94,0.018,2.13,3.03,,2.17,25.35,62.40
88,Mozambique,MOZ,34.6,20.78,42.9,Tier 4: Strategic Impact,27.7,15.2,1.247,149.61,2.826,339.11,24.85,45.61,4.08,1.22,47.50
89,Niger,NER,27.0,16.22,42.9,Tier 4: Strategic Impact,27.0,15.8,0.973,116.78,2.206,264.70,22.20,85.17,9.07,3.74,65.74
90,Benin,BEN,14.5,8.68,42.8,Tier 4: Strategic Impact,20.8,21.9,0.521,62.48,1.180,141.62,10.99,48.16,1.16,1.72,116.04
91,Burkina Faso,BFA,23.5,14.13,42.8,Tier 4: Strategic Impact,21.4,21.5,0.848,101.73,1.922,230.59,16.62,48.57,4.19,2.91,116.16
92,Sao Tome and Principe,STP,0.2,0.14,42.8,Tier 4: Strategic Impact,24.8,17.9,0.008,1.02,0.019,2.31,4.68,,14.35,14.15,63.45
93,Guinea,GIN,14.8,8.85,42.7,Tier 4: Strategic Impact,22.3,20.4,0.531,63.74,1.204,144.48,9.63,63.95,8.12,2.22,97.88
94,Malaysia,MYS,35.6,21.33,42.6,Tier 4: Strategic Impact,11.6,31.0,1.280,153.61,2.902,348.18,1.37,11.31,1.83,0.43,142.73
95,Madagascar,MDG,32.0,19.18,42.3,Tier 4: Strategic Impact,24.9,17.4,1.151,138.09,2.608,313.00,29.95,75.55,7.61,1.96,75.46
96,Zambia,ZMB,21.3,12.79,42.3,Tier 4: Strategic Impact,21.3,21.1,0.767,92.08,1.739,208.72,13.75,27.30,14.99,0.89,102.06
97,Liberia,LBR,5.6,3.37,42.2,Tier 4: Strategic Impact,28.0,14.2,0.202,24.25,0.458,54.96,19.17,47.79,8.21,21.64,32.06
98,Mali,MLI,24.5,14.69,42.2,Tier 4: Strategic Impact,19.9,22.4,0.881,105.75,1.997,239.69,14.91,45.25,3.21,4.21,112.12
99,Togo,TGO,9.5,5.71,42.1,Tier 4: Strategic Impact,23.2,18.9,0.343,41.11,0.776,93.17,14.58,42.57,2.86,,75.79
100,Maldives,MDV,0.5,0.32,41.8,Tier 4: Strategic Impact,14.9,26.9,0.019,2.28,0.043,5.17,1.22,,1.40,0.08,141.60
