ISO3,Country,Mobile_Per_100,Year
FSM,"Micronesia, Fed. Sts.",19.99,2022
MDA,Moldova,129.55,2023
MCO,Monaco,104.06,2023
MNG,Mongolia,141.08,2023
MNE,Montenegro,207.24,2023
MAR,Morocco,148.16,2023
MOZ,Mozambique,47.5,2023
MMR,Myanmar,121.03,2023
NAM,Namibia,87.68,2023
NRU,Nauru,87.17,2022
NPL,Nepal,117.76,2023
NLD,Netherlands,125.27,2023
NCL,New Caledonia,91.68,2022
NZL,New Zealand,126.85,2023
NIC,Nicaragua,105.84,2023
NER,Niger,65.74,2023
NGA,Nigeria,98.48,2023
MKD,North Macedonia,106.46,2023
NOR,Norway,109.65,2023
OMN,Oman,122.29,2023
PAK,Pakistan,76.54,2023
PLW,Palau,135.39,2023
PAN,Panama,156.59,2023
PNG,Papua New Guinea,34.06,2023
PRY,Paraguay,126.61,2023
PER,Peru,121.98,2023
PHL,Philippines,117.28,2023
POL,Poland,135.15,2023
PRT,Portugal,123.0,2023
PRI,Puerto Rico (US),124.51,2023
QAT,Qatar,157.82,2023
ROU,Romania,123.25,2023
RUS,Russian Federation,180.84,2023
RWA,Rwanda,91.46,2023
WSM,Samoa,62.4,2022
SMR,San Marino,120.27,2022
STP,Sao Tome and Principe,63.45,2023
SAU,Saudi Arabia,157.78,2023
SEN,Senegal,123.91,2023
SRB,Serbia,128.47,2023
SYC,Seychelles,129.24,2023
SLE,Sierra Leone,107.88,2022
SGP,Singapore,173.2,2023
SXM,Sint Maarten (Dutch part),205.37,2022
SVK,Slovak Republic,138.23,2023
SVN,Slovenia,129.23,2023
SLB,Solomon Islands,62.07,2022
SOM,"Somalia, Fed. Rep.",53.96,2023
ZAF,South Africa,171.51,2023
SSD,South Sudan,46.62,2023
ESP,Spain,127.72,2023
LKA,Sri Lanka,142.28,2023
KNA,St. Kitts and Nevis,118.89,2023
LCA,St. Lucia,98.67,2022
VCT,St. Vincent and the Grenadines,101.63,2023
SDN,Sudan,70.21,2022
SUR,Suriname,157.25,2023
SWE,Sweden,140.27,2023
CHE,Switzerland,130.22,2023
SYR,Syrian Arab Republic,72.44,2023
TJK,Tajikistan,76.22,2023
TZA,Tanzania,105.4,2023
THA,Thailand,168.64,2023
TLS,Timor-Leste,112.65,2023
TGO,Togo,75.79,2023
TON,Tonga,61.73,2022
TTO,Trinidad and Tobago,134.23,2023
TUN,Tunisia,132.65,2023
TUR,Turkiye,105.68,2023
TUV,Tuvalu,98.86,2022
UGA,Uganda,76.3,2023
UKR,Ukraine,133.38,2023
ARE,United Arab Emirates,199.42,2023
GBR,United Kingdom,122.78,2023
USA,United States,112.41,2023
URY,Uruguay,141.72,2023
UZB,Uzbekistan,106.88,2023
VUT,Vanuatu,89.29,2023
VEN,"Venezuela, RB",70.22,2023
VNM,Viet Nam,130.99,2023
VIR,Virgin Islands (U.S.),91.46,2022
PSE,West Bank and Gaza,76.69,2023
YEM,"Yemen, Rep.",50.89,2023
ZMB,Zambia,102.06,2023
ZWE,Zimbabwe,91.63,2023
